City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Bredasdorp,-34.5322,20.0403,68.0,68,0,3.44,ZA,2021-02-02 18:23:27
1,Pangnirtung,66.1451,-65.7125,-22.0,63,40,2.06,CA,2021-02-02 18:23:27
2,Mataura,-46.1927,168.8643,53.11,94,63,1.61,NZ,2021-02-02 18:23:28
3,Petauke,-14.2426,31.3253,67.68,89,9,3.11,ZM,2021-02-02 18:23:28
4,Butembo,0.15,29.2833,64.58,64,77,3.51,CD,2021-02-02 18:23:28
5,Ketchikan,55.3422,-131.6461,32.0,100,75,4.79,US,2021-02-02 18:23:28
6,Dunmore Town,25.5,-76.65,60.85,74,23,33.55,BS,2021-02-02 18:23:28
7,Mana,5.6592,-53.7767,80.28,82,88,14.45,GF,2021-02-02 18:23:28
8,Alice Springs,-23.7,133.8833,77.0,27,37,8.05,AU,2021-02-02 18:23:29
9,Atuona,-9.8,-139.0333,78.39,77,1,16.28,PF,2021-02-02 18:23:29
10,Edd,13.9297,41.6925,79.84,48,9,22.17,ER,2021-02-02 18:23:29
11,Wanning,18.8003,110.3967,69.55,82,60,5.73,CN,2021-02-02 18:23:29
12,Bundaberg,-24.85,152.35,73.99,94,90,6.91,AU,2021-02-02 18:23:29
13,Englewood,39.6478,-104.9878,59.0,23,40,3.44,US,2021-02-02 18:19:00
14,Sorland,67.667,12.6934,32.0,59,40,8.05,NO,2021-02-02 18:23:29
15,Nikolskoye,59.7035,30.7861,25.0,93,75,6.71,RU,2021-02-02 18:23:30
16,Tasiilaq,65.6145,-37.6368,19.4,86,90,5.75,GL,2021-02-02 18:23:30
17,Torbay,47.6666,-52.7314,28.99,74,90,3.44,CA,2021-02-02 18:23:30
18,Leshukonskoye,64.8989,45.7622,11.34,95,100,7.9,RU,2021-02-02 18:23:30
19,Bambous Virieux,-20.3428,57.7575,80.6,78,40,11.5,MU,2021-02-02 18:23:30
20,Carnarvon,-24.8667,113.6333,77.0,100,90,19.57,AU,2021-02-02 18:23:30
21,La Ronge,55.1001,-105.2842,17.6,93,90,9.22,CA,2021-02-02 18:23:30
22,Hilo,19.7297,-155.09,71.01,64,1,8.05,US,2021-02-02 18:22:58
23,Hasaki,35.7333,140.8333,33.8,64,20,4.61,JP,2021-02-02 18:23:31
24,Lukulu,-14.3707,23.242,69.57,85,100,2.75,ZM,2021-02-02 18:23:31
25,Tselinnoye,53.0833,85.6667,16.79,95,92,8.23,RU,2021-02-02 18:23:31
26,Rikitea,-23.1203,-134.9692,78.01,76,84,16.44,PF,2021-02-02 18:23:31
27,Punta Arenas,-53.15,-70.9167,66.2,55,40,23.02,CL,2021-02-02 18:22:07
28,Arraial Do Cabo,-22.9661,-42.0278,89.6,57,0,13.8,BR,2021-02-02 18:22:53
29,Port Elizabeth,-33.918,25.5701,69.8,83,0,13.8,ZA,2021-02-02 18:23:32
30,Albany,42.6001,-73.9662,30.0,88,100,12.73,US,2021-02-02 18:23:32
31,Aloleng,16.1307,119.7824,75.52,77,36,9.19,PH,2021-02-02 18:23:32
32,Balkanabat,39.5108,54.3671,52.7,44,6,16.8,TM,2021-02-02 18:23:32
33,Emmett,43.8735,-116.4993,50.0,42,88,5.99,US,2021-02-02 18:23:33
34,The Valley,18.217,-63.0578,84.2,69,20,16.11,AI,2021-02-02 18:23:33
35,Rawson,-43.3002,-65.1023,81.48,24,20,10.63,AR,2021-02-02 18:23:33
36,Saskylakh,71.9167,114.0833,-12.91,88,100,18.77,RU,2021-02-02 18:23:33
37,Hobart,-42.8794,147.3294,57.2,67,90,1.14,AU,2021-02-02 18:23:33
38,Ugoofaaru,5.6667,73.0,81.32,77,1,14.07,MV,2021-02-02 18:23:33
39,Saint-Augustin,51.226,-58.6502,22.55,89,38,6.82,CA,2021-02-02 18:23:33
40,Moindou,-21.6924,165.677,71.6,94,75,20.71,NC,2021-02-02 18:23:34
41,Safaga,26.7292,33.9365,73.4,68,0,3.44,EG,2021-02-02 18:23:34
42,Yellowknife,62.456,-114.3525,-11.99,70,90,12.66,CA,2021-02-02 18:23:34
43,Tuatapere,-46.1333,167.6833,55.56,89,68,4.25,NZ,2021-02-02 18:23:34
44,Cape Town,-33.9258,18.4232,72.0,68,0,14.97,ZA,2021-02-02 18:23:34
45,Port Alfred,-33.5906,26.891,69.01,88,0,5.01,ZA,2021-02-02 18:23:34
46,Varberg,57.1056,12.2508,26.01,93,2,5.01,SE,2021-02-02 18:18:37
47,Torbat-E Jam,35.244,60.6225,44.44,62,14,0.4,IR,2021-02-02 18:23:35
48,Katsuura,35.1333,140.3,41.0,48,0,8.05,JP,2021-02-02 18:23:35
49,Cherskiy,68.75,161.3,-1.48,87,25,3.98,RU,2021-02-02 18:23:35
50,Nuuk,64.1835,-51.7216,8.6,66,75,11.5,GL,2021-02-02 18:23:36
51,Puerto Ayora,-0.7393,-90.3518,84.2,70,0,18.41,EC,2021-02-02 18:23:36
52,Sitka,57.0531,-135.33,32.0,59,40,5.75,US,2021-02-02 18:23:36
53,Chilca,-12.5211,-76.7372,78.8,57,0,6.91,PE,2021-02-02 18:23:36
54,Ushuaia,-54.8,-68.3,55.4,71,75,16.11,AR,2021-02-02 18:23:36
55,East London,-33.0153,27.9116,69.8,78,0,16.11,ZA,2021-02-02 18:23:36
56,Mineral Wells,32.8085,-98.1128,61.0,31,1,16.11,US,2021-02-02 18:23:36
57,Richards Bay,-28.783,32.0377,70.52,74,100,2.68,ZA,2021-02-02 18:18:52
58,Chuy,-33.6971,-53.4616,86.67,50,17,0.63,UY,2021-02-02 18:23:37
59,Virginia Beach,36.8529,-75.978,37.4,70,90,13.8,US,2021-02-02 18:19:35
60,Luderitz,-26.6481,15.1594,66.69,80,0,13.8,NA,2021-02-02 18:23:37
61,Narsaq,60.9167,-46.05,24.8,68,75,10.36,GL,2021-02-02 18:23:37
62,Moranbah,-22.0016,148.0466,73.78,79,47,5.53,AU,2021-02-02 18:23:38
63,Mier,26.4333,-99.15,71.6,24,1,6.91,MX,2021-02-02 18:23:38
64,Marawi,7.9986,124.2928,73.0,94,92,4.0,PH,2021-02-02 18:23:38
65,Bethel,41.3712,-73.414,32.0,97,99,15.17,US,2021-02-02 18:23:38
66,Cayenne,4.9333,-52.3333,84.2,79,75,12.66,GF,2021-02-02 18:23:38
67,Flowing Wells,32.294,-111.0098,71.01,21,20,12.66,US,2021-02-02 18:21:33
68,Eureka,40.8021,-124.1637,51.01,88,100,1.01,US,2021-02-02 18:23:39
69,Tuktoyaktuk,69.4541,-133.0374,-31.0,75,20,5.75,CA,2021-02-02 18:23:39
