City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Soyo,AO,81.05,overcast clouds,-6.1349,12.3689,Hotel Mpampa
5,Vaini,TO,80.6,light intensity drizzle,-21.2,-175.2,Keleti Beach Resort
7,Fayaoue,NC,80.53,clear sky,-20.65,166.5333,Chez Dydyce Guesthouse
16,Atuona,PF,78.6,broken clouds,-9.8,-139.0333,Villa Enata
19,Geraldton,AU,75.2,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
23,Saint-Philippe,RE,80.6,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
24,Isangel,VU,77.0,scattered clouds,-19.55,169.2667,Volcano Sea View Tree House
28,Mahebourg,MU,78.8,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
29,Caravelas,BR,79.38,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
41,Tual,ID,79.56,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
48,Sabang,ID,81.54,scattered clouds,5.8933,95.3214,Hotel Citra
52,Hambantota,LK,76.23,overcast clouds,6.1241,81.1185,Bungalow 63
59,Bubaque,GW,77.45,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
61,Bengkulu,ID,75.43,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
64,Poso,ID,79.0,moderate rain,-1.3959,120.7524,Hotel 77 Poso
66,Rikitea,PF,78.64,overcast clouds,-23.1203,-134.9692,Pension Maro'i
69,Iguape,BR,86.5,overcast clouds,-24.7081,-47.5553,Hotel Pousada Nossa Senhora do Carmo
73,Pemangkat,ID,76.12,light rain,1.1667,108.9667,Kost H.Syamsuddin
77,Avarua,CK,84.2,overcast clouds,-21.2078,-159.775,Paradise Inn
79,Carnarvon,AU,78.46,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
87,Cockburn Town,TC,75.2,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
88,Port Blair,IN,77.76,clear sky,11.6667,92.75,Welcomhotel Bay Island Port Blair
89,Miri,MY,77.0,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
