City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,55.4,67,20,37.98,few clouds
1,Saint-Augustin,CA,51.226,-58.6502,34.5,96,98,3.38,overcast clouds
2,Jamestown,US,42.097,-79.2353,35.6,48,1,8.05,clear sky
3,Soyo,AO,-6.1349,12.3689,81.05,84,100,8.75,overcast clouds
4,Provideniya,RU,64.3833,-173.3,-9.94,87,100,28.03,light snow
5,Vaini,TO,-21.2,-175.2,80.6,94,75,9.22,light intensity drizzle
6,Iqaluit,CA,63.7506,-68.5145,12.2,79,90,16.11,snow
7,Fayaoue,NC,-20.65,166.5333,80.53,82,8,17.94,clear sky
8,Ponta Do Sol,PT,32.6667,-17.1,48.99,69,98,1.99,overcast clouds
9,Upernavik,GL,72.7868,-56.1549,-9.56,70,41,4.97,scattered clouds
10,Jinchang,CN,38.4953,102.1739,29.32,73,0,8.32,clear sky
11,Lucapa,AO,-8.4192,20.7447,67.78,89,0,0.65,clear sky
12,Port Lincoln,AU,-34.7333,135.8667,59.43,77,48,30.53,scattered clouds
13,Ust-Nera,RU,64.5667,143.2,-20.63,78,100,7.67,overcast clouds
14,Albany,US,42.6001,-73.9662,37.4,55,20,10.36,few clouds
15,Dikson,RU,73.5069,80.5464,-7.11,91,100,10.33,overcast clouds
16,Atuona,PF,-9.8,-139.0333,78.6,69,71,10.92,broken clouds
17,Bredasdorp,ZA,-34.5322,20.0403,68.0,73,98,6.91,overcast clouds
18,Mataura,NZ,-46.1927,168.8643,55.15,62,34,3.53,scattered clouds
19,Geraldton,AU,-28.7667,114.6,75.2,31,40,24.16,scattered clouds
20,Vagay,RU,57.9375,69.0217,11.8,95,100,6.04,overcast clouds
21,Cherskiy,RU,68.75,161.3,-11.36,74,0,10.89,clear sky
22,Cape Town,ZA,-33.9258,18.4232,69.01,77,0,14.97,clear sky
23,Saint-Philippe,RE,-21.3585,55.7679,80.6,69,20,3.44,light rain
24,Isangel,VU,-19.55,169.2667,77.0,83,40,5.75,scattered clouds
25,Pacific Grove,US,36.6177,-121.9166,57.99,50,1,8.05,clear sky
26,Torbay,CA,47.6666,-52.7314,45.0,100,90,4.41,fog
27,Norman Wells,CA,65.282,-126.8329,-40.0,67,20,2.3,few clouds
28,Mahebourg,MU,-20.4081,57.7,78.8,78,40,11.5,light rain
29,Caravelas,BR,-17.7125,-39.2481,79.38,75,1,8.59,clear sky
30,Vostok,RU,46.4856,135.8833,-23.22,86,31,5.59,scattered clouds
31,Hasaki,JP,35.7333,140.8333,33.8,60,20,6.91,few clouds
32,Shizunai,JP,42.3339,142.3669,18.5,89,91,21.81,overcast clouds
33,Port Elizabeth,ZA,-33.918,25.5701,69.8,83,75,8.05,broken clouds
34,Namibe,AO,-15.1961,12.1522,72.99,71,0,9.82,clear sky
35,Aklavik,CA,68.2191,-135.0107,-43.6,66,20,2.3,fog
36,Qaanaaq,GL,77.484,-69.3632,-20.49,60,64,7.76,broken clouds
37,Saskylakh,RU,71.9167,114.0833,-41.06,75,0,3.71,clear sky
38,Busselton,AU,-33.65,115.3333,54.0,81,27,12.35,scattered clouds
39,Kodiak,US,57.79,-152.4072,21.2,86,1,5.75,clear sky
40,Yellowknife,CA,62.456,-114.3525,-23.01,69,1,10.36,clear sky
41,Tual,ID,-5.6667,132.75,79.56,88,100,32.75,overcast clouds
42,Keelung,TW,25.1283,121.7419,66.99,77,20,10.36,few clouds
43,Haukipudas,FI,65.1765,25.3523,8.6,85,0,4.61,clear sky
44,Flinders,AU,-34.5833,150.8552,70.0,90,64,1.01,broken clouds
45,Hermanus,ZA,-34.4187,19.2345,69.01,74,13,1.99,few clouds
46,Salalah,OM,17.0151,54.0924,73.4,68,40,2.26,scattered clouds
47,Kamina,CD,-8.7386,24.9906,65.25,91,41,0.94,scattered clouds
48,Sabang,ID,5.8933,95.3214,81.54,74,40,18.3,scattered clouds
49,Lavrentiya,RU,65.5833,-171.0,-9.92,86,100,18.68,overcast clouds
50,Lebu,CL,-37.6167,-73.65,70.3,55,1,5.79,clear sky
51,Longyearbyen,SJ,78.2186,15.6401,19.4,63,90,11.5,overcast clouds
52,Hambantota,LK,6.1241,81.1185,76.23,74,100,17.81,overcast clouds
53,Yumen,CN,40.2833,97.2,28.65,63,21,15.52,few clouds
54,Katsuura,JP,35.1333,140.3,42.8,49,20,17.27,few clouds
55,Zyryanka,RU,65.75,150.85,-13.49,88,100,19.93,overcast clouds
56,Caceres,ES,39.522,-6.3748,46.99,93,96,1.99,overcast clouds
57,Kapustin Yar,RU,48.5831,45.7372,41.88,91,65,10.71,broken clouds
58,Punta Arenas,CL,-53.15,-70.9167,62.6,39,0,28.77,clear sky
59,Bubaque,GW,11.2833,-15.8333,77.45,66,89,16.31,overcast clouds
60,Severo-Kurilsk,RU,50.6789,156.125,7.2,87,76,9.19,light snow
61,Bengkulu,ID,-3.8004,102.2655,75.43,86,100,5.46,overcast clouds
62,Husavik,IS,66.0449,-17.3389,23.0,74,0,4.61,clear sky
63,Tuktoyaktuk,CA,69.4541,-133.0374,-34.6,67,40,10.36,mist
64,Poso,ID,-1.3959,120.7524,79.0,82,100,4.45,moderate rain
65,Barrow,US,71.2906,-156.7887,-25.6,75,1,5.75,clear sky
66,Rikitea,PF,-23.1203,-134.9692,78.64,67,88,9.64,overcast clouds
67,Kathmandu,NP,27.7167,85.3167,44.6,76,20,3.44,few clouds
68,Gaya,IN,24.7833,85.0,57.13,53,0,3.27,clear sky
69,Iguape,BR,-24.7081,-47.5553,86.5,69,88,9.04,overcast clouds
70,Apricena,IT,41.7839,15.4437,50.0,93,0,5.75,clear sky
71,Eslov,SE,55.8393,13.3039,19.99,93,75,6.22,broken clouds
72,Victoria,HK,22.2855,114.1577,64.0,81,12,3.0,few clouds
73,Pemangkat,ID,1.1667,108.9667,76.12,91,100,7.43,light rain
74,Chapleau,CA,47.8405,-83.4034,35.6,41,90,9.22,overcast clouds
75,Khatanga,RU,71.9667,102.5,-30.96,78,0,9.01,clear sky
76,Faya,SA,18.3851,42.4509,62.6,41,0,8.05,clear sky
77,Avarua,CK,-21.2078,-159.775,84.2,70,100,5.75,overcast clouds
78,Sayyan,YE,15.1718,44.3244,44.42,54,0,3.58,clear sky
79,Carnarvon,AU,-24.8667,113.6333,78.46,85,100,20.09,overcast clouds
80,Henties Bay,NA,-22.116,14.2845,66.0,83,69,1.99,broken clouds
81,Bashtanka,UA,47.4072,32.4387,42.26,85,99,19.22,overcast clouds
82,New Norfolk,AU,-42.7826,147.0587,64.99,54,58,1.16,broken clouds
83,Kamalpur,IN,24.2,91.8333,56.97,62,0,2.17,clear sky
84,Dudinka,RU,69.4058,86.1778,-30.35,84,95,4.88,overcast clouds
85,Prince Rupert,CA,54.3161,-130.3201,41.0,93,90,8.05,moderate rain
86,Gravelbourg,CA,49.8834,-106.5512,1.4,66,89,17.27,overcast clouds
87,Cockburn Town,TC,21.4612,-71.1419,75.2,60,75,9.22,broken clouds
88,Port Blair,IN,11.6667,92.75,77.76,81,1,6.38,clear sky
89,Miri,MY,4.4148,114.0089,77.0,94,40,4.61,scattered clouds
90,Puerto Ayora,EC,-0.7393,-90.3518,86.0,66,0,6.91,clear sky
91,Hamilton,US,39.1834,-84.5333,39.0,64,90,18.41,light rain
92,San Patricio,US,28.017,-97.5169,86.0,51,20,13.8,few clouds
93,Pevek,RU,69.7008,170.3133,-12.32,78,0,10.11,clear sky
94,Portland,US,45.5234,-122.6762,45.0,81,90,8.05,overcast clouds
95,Clyde River,CA,70.4692,-68.5914,-20.2,76,75,12.66,broken clouds
96,Ziyang,CN,29.2497,117.8547,50.67,92,97,2.84,overcast clouds
97,Puerto Rondon,CO,6.2805,-71.1,94.71,38,52,8.99,broken clouds
98,Jambi,ID,-1.6,103.6167,72.01,93,58,2.66,broken clouds
99,Codrington,AU,-38.2667,141.9667,56.66,89,100,18.57,light rain
100,Bathsheba,BB,13.2167,-59.5167,82.4,57,40,21.85,scattered clouds
101,Tiksi,RU,71.6872,128.8694,-24.21,87,100,4.61,overcast clouds
102,Victor Harbor,AU,-35.5667,138.6167,59.0,77,0,5.99,light rain
103,Chokurdakh,RU,70.6333,147.9167,-9.98,86,10,19.71,clear sky
104,Cabo San Lucas,MX,22.8909,-109.9124,82.99,36,1,3.44,clear sky
105,Aquiraz,BR,-3.9014,-38.3911,84.2,70,0,11.5,clear sky
106,Constitucion,CL,-35.3333,-72.4167,68.2,70,15,6.31,few clouds
107,Kapaa,US,22.0752,-159.319,68.0,72,40,4.61,scattered clouds
108,Hobart,AU,-42.8794,147.3294,64.99,82,75,5.75,broken clouds
109,Korla,CN,41.7597,86.1469,25.95,83,19,3.29,few clouds
110,Aksarka,RU,66.5606,67.7975,-18.45,87,89,6.42,overcast clouds
111,Thompson,CA,55.7435,-97.8558,-7.6,77,90,11.5,snow
112,Namatanai,PG,-3.6667,152.4333,79.9,77,99,1.3,overcast clouds
113,Pimentel,PE,-6.8367,-79.9342,78.8,57,0,19.57,clear sky
114,Pianco,BR,-7.1981,-37.9292,91.47,26,85,7.45,overcast clouds
115,Ithaca,US,42.4406,-76.4966,37.0,60,1,3.44,clear sky
116,Vao,NC,-22.6667,167.4833,78.75,86,49,20.49,scattered clouds
117,Port Alfred,ZA,-33.5906,26.891,66.99,85,4,3.0,clear sky
118,Diamantino,BR,-14.4086,-56.4461,87.93,62,46,1.68,scattered clouds
119,Bluff,NZ,-46.6,168.3333,50.94,70,65,5.06,broken clouds
120,Antalaha,MG,-14.9003,50.2788,75.61,89,66,5.06,broken clouds
121,Nanortalik,GL,60.1432,-45.2371,21.33,81,92,4.52,overcast clouds
122,Kailua,US,21.4022,-157.7394,71.6,64,75,6.91,broken clouds
123,Alexandria,EG,31.2156,29.9553,64.4,77,40,14.97,scattered clouds
124,Shivrajpur,IN,22.4167,73.65,63.01,30,0,3.04,clear sky
125,Muros,ES,42.7762,-9.0603,52.0,88,90,5.37,overcast clouds
126,Uray,RU,60.1247,64.7758,12.36,97,100,5.21,light snow
127,Taua,BR,-5.9667,-40.3,86.85,37,56,9.55,broken clouds
128,Hilo,US,19.7297,-155.09,73.4,78,75,11.5,light rain
129,Bonavista,CA,48.6499,-53.1147,43.0,100,100,1.79,light rain
130,Doha,QA,25.2867,51.5333,66.2,94,0,2.3,clear sky
131,Arraial Do Cabo,BR,-22.9661,-42.0278,86.0,65,0,21.85,clear sky
132,Chapais,CA,49.7834,-74.8492,32.0,55,1,4.61,clear sky
