City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Barrow,71.2906,-156.7887,-23.8,69,1,14.97,US,2021-02-03 01:19:29
1,Vaini,-21.2,-175.2,82.4,89,75,8.05,TO,2021-02-03 01:23:03
2,Caravelas,-17.7125,-39.2481,76.19,85,100,5.7,BR,2021-02-03 01:23:03
3,Mataura,-46.1927,168.8643,66.04,68,81,7.99,NZ,2021-02-03 01:19:18
4,Gigmoto,13.7796,124.39,80.42,79,41,15.95,PH,2021-02-03 01:23:03
5,Ushuaia,-54.8,-68.3,53.6,76,75,31.07,AR,2021-02-03 01:22:58
6,Vardo,70.3705,31.1107,26.35,91,98,24.2,NO,2021-02-03 01:19:01
7,Thompson,55.7435,-97.8558,15.8,92,90,4.61,CA,2021-02-03 01:21:20
8,Busselton,-33.65,115.3333,73.99,65,2,5.01,AU,2021-02-03 01:23:04
9,Broome,42.2506,-75.833,25.0,86,90,12.66,US,2021-02-03 01:23:04
10,Leningradskiy,69.3833,178.4167,-5.69,86,100,18.97,RU,2021-02-03 01:23:04
11,Rikitea,-23.1203,-134.9692,78.69,75,0,15.66,PF,2021-02-03 01:23:04
12,Castro,-24.7911,-50.0119,67.48,90,100,0.72,BR,2021-02-03 01:23:04
13,Qaanaaq,77.484,-69.3632,-12.44,84,100,1.05,GL,2021-02-03 01:19:43
14,Iqaluit,63.7506,-68.5145,-16.6,69,90,0.65,CA,2021-02-03 01:23:05
15,Hermanus,-34.4187,19.2345,59.0,94,0,5.7,ZA,2021-02-03 01:19:22
16,Esperance,-33.8667,121.9,75.2,53,43,14.97,AU,2021-02-03 01:19:19
17,Zalari,53.5584,102.5065,-1.46,91,100,4.68,RU,2021-02-03 01:23:05
18,Guerrero Negro,27.9769,-114.0611,69.57,35,100,12.3,MX,2021-02-03 01:19:17
19,Salinopolis,-0.6136,-47.3561,78.98,85,90,11.3,BR,2021-02-03 01:23:05
20,Mount Gambier,-37.8333,140.7667,69.8,52,0,12.66,AU,2021-02-03 01:23:05
21,Waipawa,-41.4122,175.5153,75.99,68,0,11.5,NZ,2021-02-03 01:23:06
22,Kaitangata,-46.2817,169.8464,64.99,75,49,24.0,NZ,2021-02-03 01:19:29
23,Mar Del Plata,-38.0023,-57.5575,66.99,82,40,6.91,AR,2021-02-03 01:23:04
24,Paamiut,61.994,-49.6678,6.06,80,0,14.5,GL,2021-02-03 01:23:06
25,Rajakhera,26.8961,78.1714,52.27,53,0,4.9,IN,2021-02-03 01:23:06
26,Chuy,-33.6971,-53.4616,73.0,89,98,7.56,UY,2021-02-03 01:18:26
27,Severomuysk,56.1481,113.4267,-33.21,85,83,5.28,RU,2021-02-03 01:23:07
28,Provideniya,64.3833,-173.3,5.97,90,100,18.14,RU,2021-02-03 01:23:07
29,Hithadhoo,-0.6,73.0833,82.0,71,1,4.45,MV,2021-02-03 01:23:07
30,Hilo,19.7297,-155.09,78.8,61,90,11.5,US,2021-02-03 01:23:07
31,Gualaquiza,-3.4,-78.55,65.25,90,76,1.23,EC,2021-02-03 01:23:08
32,Quatre Cocos,-20.2078,57.7625,78.8,83,20,1.14,MU,2021-02-03 01:20:38
33,Colac,-38.3333,143.5833,64.0,54,3,5.99,AU,2021-02-03 01:23:08
34,Dwarka,22.2394,68.9678,67.93,75,0,6.55,IN,2021-02-03 01:20:04
35,Pacific Grove,36.6177,-121.9166,59.0,77,1,5.75,US,2021-02-03 01:18:30
36,Yellowknife,62.456,-114.3525,-13.0,70,90,10.36,CA,2021-02-03 01:23:09
37,Chebenki,51.9337,55.7077,33.8,100,90,4.47,RU,2021-02-03 01:20:46
38,Liverpool,53.4106,-2.9779,46.99,93,75,6.91,GB,2021-02-03 01:23:09
39,Upernavik,72.7868,-56.1549,-7.17,87,100,4.5,GL,2021-02-03 01:19:53
40,Matara,5.9485,80.5353,74.03,89,53,4.09,LK,2021-02-03 01:23:09
41,Lavrentiya,65.5833,-171.0,5.43,86,100,24.38,RU,2021-02-03 01:20:18
42,Dikson,73.5069,80.5464,-24.11,85,3,14.14,RU,2021-02-03 01:23:09
43,Kibara,-2.15,33.45,69.8,94,75,11.5,TZ,2021-02-03 01:23:10
44,Naze,28.3667,129.4833,60.8,51,75,14.97,JP,2021-02-03 01:23:10
45,North Bend,43.4065,-124.2243,46.0,87,90,9.22,US,2021-02-03 01:20:31
46,Bredasdorp,-34.5322,20.0403,57.2,94,0,5.75,ZA,2021-02-03 01:23:10
47,Bozoum,6.3193,16.3799,67.77,32,55,1.1,CF,2021-02-03 01:23:10
48,Albany,42.6001,-73.9662,27.0,87,100,7.43,US,2021-02-03 01:21:15
49,Hammerfest,70.6634,23.6821,21.2,86,40,5.75,NO,2021-02-03 01:23:11
50,Artyom,40.4723,50.333,42.8,93,90,4.61,AZ,2021-02-03 01:23:11
51,Dunedin,-45.8742,170.5036,68.0,67,50,25.99,NZ,2021-02-03 01:19:56
52,Bluff,-46.6,168.3333,58.68,81,97,11.34,NZ,2021-02-03 01:23:11
53,Fortuna,40.5982,-124.1573,51.01,71,1,6.91,US,2021-02-03 01:20:06
54,Sao Jose Da Coroa Grande,-8.8978,-35.1478,77.68,80,0,8.08,BR,2021-02-03 01:23:12
55,Porto-Vecchio,41.591,9.2795,55.4,82,0,17.27,FR,2021-02-03 01:23:12
56,Tema,5.667,-0.0166,82.4,89,40,9.22,GH,2021-02-03 01:21:49
57,Beringovskiy,63.05,179.3167,11.21,95,100,11.86,RU,2021-02-03 01:19:48
58,Saquarema,-22.92,-42.5103,82.4,69,0,3.44,BR,2021-02-03 01:20:39
59,Saint-Philippe,-21.3585,55.7679,78.8,69,40,6.91,RE,2021-02-03 01:23:13
60,Tasiilaq,65.6145,-37.6368,21.2,86,90,8.05,GL,2021-02-03 01:23:13
61,Port Macquarie,-31.4333,152.9167,80.01,58,48,1.01,AU,2021-02-03 01:20:07
62,Khudumelapye,-23.8833,24.75,65.28,86,100,18.01,BW,2021-02-03 01:23:13
63,Souillac,-20.5167,57.5167,78.8,83,20,1.14,MU,2021-02-03 01:23:13
64,Cherskiy,68.75,161.3,0.91,84,0,3.4,RU,2021-02-03 01:23:14
65,Ampanihy,-24.7,44.75,75.49,91,7,6.31,MG,2021-02-03 01:23:14
66,Victoria,22.2855,114.1577,66.0,67,24,1.01,HK,2021-02-03 01:18:47
67,Clyde River,70.4692,-68.5914,-31.0,68,1,2.3,CA,2021-02-03 01:23:14
